year,tconst,title,dates,genre,nominations,emmys,nconst,name,director,writer,producer,gender,emmys
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0849598,Neri Kyle Tannenbaum,,,"co-executive producer / producer / executive producer (91 episodes, 2013-2019)",male,['Nom. Outstanding Comedy Series 2014']
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1802607,Sara Hess,,"(8 episodes, 2013-2016)","co-executive producer / executive producer (52 episodes, 2013-2016)",female,['Nom. Outstanding Comedy Series 2014']
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0025978,Allison Anders,"(1 episode, 2014)",,,female,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0008971,Phil Abraham,"(11 episodes, 2013-2019)",,,male,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0902939,Daisy von Scherler Mayer,"(1 episode, 2014)",,,female,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0315298,Jennifer Getzinger,"(1 episode, 2014)",,,female,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0872841,Michael Trim,"(11 episodes, 2013-2019)",,,male,['Nom. Outstanding Comedy Series 2014']
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1571761,Sian Heder,,"(19 episodes, 2013-2015)",,female,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0463176,Jenji Kohan,,"(created by) (91 episodes, 2013-2019)","executive producer (91 episodes, 2013-2019)",unknown,"['Nom. Outstanding Writing for a Comedy Series 2014', 'Nom. Outstanding Comedy Series 2014']"
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0003802,Uta Briesewitz,"(4 episodes, 2013-2017)",,,female,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0000530,Andrew McCarthy,"(15 episodes, 2013-2019)",,,male,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5246353,Piper Kerman,,"(43 episodes, 2013-2016)",,female,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5615332,Nick Jones,,"(21 episodes, 2013-2016)",,male,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1237416,S.J. Clarkson,"(1 episode, 2014)",,,unknown,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5551149,Lauren Morelli,,"(25 episodes, 2013-2017)",,mostly_female,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0266198,Stephen Falk,,"(1 episode, 2014)","co-executive producer (13 episodes, 2014)",male,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5207499,Alex Regnery,,"(2 episodes, 2014-2016)",,male,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm3612790,Tara Herrmann,,"(6 episodes, 2013-2017)","executive producer / co-executive producer / co-producer / producer (91 episodes, 2013-2019)",female,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm3266399,Hartley Voss,,"(2 episodes, 2014-2016)",,unknown,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0122140,Mark A. Burley,,,"co-executive producer / consulting producer / executive producer (91 episodes, 2013-2019)",male,['Nom. Outstanding Comedy Series 2014']
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0538744,Constantine Makris,"(10 episodes, 2013-2019)",,,mostly_male,[]
2014,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0899021,Lisa Vinnecour,,,"co-executive producer / executive producer (91 episodes, 2013-2019)",female,['Nom. Outstanding Comedy Series 2014']
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0392237,Nicole Holofcener,"(1 episode, 2015)",,,female,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1536585,Arturo Guzman,,,"co-producer / associate producer (78 episodes, 2014-2019)",male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0849598,Neri Kyle Tannenbaum,,,"co-executive producer / producer / executive producer (91 episodes, 2013-2019)",male,['Nom. Outstanding Drama Series 2015']
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1802607,Sara Hess,,"(8 episodes, 2013-2016)","co-executive producer / executive producer (52 episodes, 2013-2016)",female,['Nom. Outstanding Drama Series 2015']
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0008971,Phil Abraham,"(11 episodes, 2013-2019)",,,male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm2284959,Jim Danger Gray,,"(3 episodes, 2015-2016)","producer / supervising producer (18 episodes, 2015-2016)",male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0376006,Anthony Hemingway,"(1 episode, 2015)",,,male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0872841,Michael Trim,"(11 episodes, 2013-2019)",,,male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm1571761,Sian Heder,,"(19 episodes, 2013-2015)","co-producer (13 episodes, 2015)",female,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0463176,Jenji Kohan,,"(created by) (91 episodes, 2013-2019)","executive producer (91 episodes, 2013-2019)",unknown,['Nom. Outstanding Drama Series 2015']
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0003802,Uta Briesewitz,"(4 episodes, 2013-2017)",,,female,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm0000530,Andrew McCarthy,"(15 episodes, 2013-2019)",,,male,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5246353,Piper Kerman,,"(43 episodes, 2013-2016)",,female,[]
2015,tt2372162,Orange Is the New Black,(2013–2019),"
Comedy, Crime, Drama            ",16,4,nm5615332,Nick Jones,,"(21 episodes, 2013-2016)","co-producer / producer (26 episodes, 2015-2016)",male,[]
